current toon,new toon,number of dots,level,set,shape,primary stat type,primary stat value,secondary stat type,secondary stat value,secondary stat type,secondary stat value,secondary stat type,secondary stat value,secondary stat type,secondary stat value
Barriss Offee,TBD,5,1,Crit Damage,diamond,Defense%,1.25
CT-7567 "Rex",TBD,5,1,Crit Damage,diamond,Defense%,1.25
Sabine Wren,TBD,5,1,Crit Chance,diamond,Defense%,1.25
Gar Saxon,TBD,5,1,Crit Chance,diamond,Defense%,1.25
IG-86 Sentinel Droid,TBD,5,1,Tenacity,diamond,Defense%,1.25,Potency%,1.47,Offense,45.0,Health,249.0,Defense,5.0
Nightsister Zombie,TBD,5,1,Tenacity,diamond,Defense%,1.25,Tenacity%,1.81,Health,337.0,Health%,0.59,Critical Chance%,1.72
Veteran Smuggler Chewbacca,TBD,5,1,Tenacity,diamond,Defense%,1.25,Offense,28.0,Critical Chance%,1.97,Defense,8.0
IG-88,TBD,5,1,Tenacity,diamond,Defense%,1.25,Defense,6.0,Offense,44.0,Health%,0.66
Nightsister Initiate,TBD,5,1,Tenacity,diamond,Defense%,1.25,Defense,7.0,Offense%,0.42,Health,320.0
Talia,TBD,5,1,Tenacity,diamond,Defense%,1.25,Offense%,0.46
Qui-Gon Jinn,TBD,5,1,Potency,diamond,Defense%,1.25,Potency%,1.65
Cad Bane,TBD,5,1,Potency,diamond,Defense%,1.25
Jawa Scavenger,TBD,5,1,Potency,diamond,Defense%,1.25
Tusken Raider,TBD,5,1,Potency,diamond,Defense%,1.25,Defense,5.0,Health,360.0,Protection,743.0
Mace Windu,TBD,5,1,Potency,diamond,Defense%,1.25,Defense,7.0,Protection%,2.15,Protection,727.0,Critical Chance%,1.65
Clone Wars Chewbacca,TBD,5,1,Potency,diamond,Defense%,1.25
Royal Guard,TBD,5,1,Potency,diamond,Defense%,1.25,Protection,703.0,Offense,39.0
Ewok Elder,TBD,5,1,Potency,diamond,Defense%,1.25
Garazeb "Zeb" Orrelios,TBD,5,1,Speed,diamond,Defense%,1.25
Chief Chirpa,TBD,5,1,Speed,diamond,Defense%,1.25
Chief Nebit,TBD,5,1,Speed,diamond,Defense%,1.25
Veteran Smuggler Chewbacca,TBD,5,1,Health,triangle,Defense%,1.25,Potency%,2.13,Protection%,1.52
Kylo Ren (Unmasked),TBD,5,1,Health,triangle,Defense%,1.25,Critical Chance%,1.95,Health,315.0
Ima-Gun Di,TBD,5,1,Health,triangle,Offense%,0.63,Defense%,1.09
Old Daka,TBD,5,1,Health,triangle,Offense%,0.63,Defense,9.0
Mace Windu,TBD,5,1,Health,triangle,Critical Damage%,4.5,Health,260.0,Defense,6.0,Defense%,1.66,Health%,1.06
Ahsoka Tano,TBD,5,1,Crit Damage,triangle,Protection%,2.5,Potency%,1.17,Defense,7.0
Jedi Consular,TBD,5,1,Crit Damage,triangle,Offense%,0.63,Health,214.0,Defense,7.0
Barriss Offee,TBD,5,1,Crit Damage,triangle,Offense%,0.63,Offense,28.0
CT-7567 "Rex",TBD,5,1,Crit Damage,triangle,Offense%,0.63,Potency%,1.89
Garazeb "Zeb" Orrelios,TBD,5,1,Tenacity,triangle,Protection%,2.5
Nightsister Zombie,TBD,5,1,Tenacity,triangle,Offense%,0.63,Protection%,1.66,Health%,0.93,Defense,7.0
First Order Executioner,bandy legs,5,1,Tenacity,triangle,Protection%,2.5,Health%,0.76,Offense%,0.37,Defense%,1.34,Defense,8.0
Lobot,TBD,5,1,Tenacity,triangle,Health%,0.63,Potency%,1.38,Health,388.0,Offense,40.0,Protection%,1.84
Nute Gunray,TBD,5,1,Offense,triangle,Protection%,2.5,Offense%,0.29,Critical Chance%,1.65,Defense%,1.64,Health,221.0
Chopper,TBD,5,1,Potency,triangle,Defense%,1.25,Health,247.0,Critical Chance%,1.21,Potency%,1.67,Protection,553.0
Veteran Smuggler Han Solo,TBD,5,1,Potency,triangle,Protection%,2.5,Potency%,1.2,Offense,34.0,Defense%,1.37
Jedi Knight Anakin,TBD,5,1,Health,circle,Health%,0.63
CC-2224 "Cody",TBD,5,1,Health,circle,Health%,0.63,Offense%,0.44,Critical Chance%,1.84
Stormtrooper,TBD,5,1,Health,circle,Health%,0.63,Speed,4.0,Tenacity%,2.21
Magmatrooper,TBD,5,1,Health,circle,Protection%,2.5,Critical Chance%,1.19,Offense%,0.4
HK-47,TBD,5,1,Health,circle,Health%,0.63,Defense,6.0,Tenacity%,1.89
IG-86 Sentinel Droid,TBD,5,1,Health,circle,Health%,0.63
Ahsoka Tano (Fulcrum),TBD,5,1,Health,circle,Protection%,2.5,Defense,7.0,Health%,0.93
Hoth Rebel Scout,TBD,5,1,Health,circle,Health%,0.63,Potency%,2.23,Health,296.0
Qui-Gon Jinn,TBD,5,1,Health,circle,Health%,0.63,Defense%,1.42
Bodhi Rook,TBD,5,1,Health,circle,Protection%,2.5,Offense,42.0,Offense%,0.53
Cassian Andor,TBD,5,1,Health,circle,Health%,0.63,Critical Chance%,1.38,Offense,43.0
Count Dooku,TBD,5,1,Health,circle,Health%,0.63,Tenacity%,1.5,Potency%,1.44
First Order Executioner,TBD,5,1,Health,circle,Health%,0.63,Health,412.0,Offense,27.0
Chief Chirpa,TBD,5,1,Health,circle,Health%,0.63
First Order SF TIE Pilot,TBD,5,1,Health,circle,Health%,0.63,Offense%,0.43,Potency%,1.65
Old Daka,TBD,5,1,Health,circle,Protection%,2.5,Critical Chance%,1.74
Bistan,TBD,5,1,Health,circle,Health%,0.63,Critical Chance%,2.14,Offense%,0.46,Offense,39.0,Tenacity%,1.41
Jawa Scavenger,TBD,5,1,Health,circle,Protection%,2.5
Kylo Ren,TBD,5,1,Health,circle,Protection%,2.5,Tenacity%,2.05,Critical Chance%,1.94
Luminara Unduli,TBD,5,1,Health,circle,Protection%,2.5,Critical Chance%,1.3
CT-7567 "Rex",TBD,5,1,Health,circle,Health%,0.63
Nightsister Acolyte,TBD,5,1,Health,circle,Protection%,2.5,Potency%,1.86,Health,270.0
K-2SO,TBD,5,1,Health,circle,Protection%,2.5,Protection,585.0,Health,276.0
Nute Gunray,TBD,5,1,Health,circle,Protection%,2.5,Defense%,1.55,Health,406.0
Plo Koon,bandy legs,5,1,Defense,circle,Protection%,2.5,Potency%,1.71,Health%,0.61,Offense%,0.38
Veteran Smuggler Chewbacca,TBD,5,1,Defense,circle,Health%,0.63
Talia,TBD,5,1,Crit Damage,circle,Health%,0.63
Sabine Wren,TBD,5,1,Crit Chance,circle,Protection%,2.5
Ewok Scout,TBD,5,1,Crit Chance,circle,Health%,0.63
Cad Bane,TBD,5,1,Crit Chance,circle,Protection%,2.5
Geonosian Spy,TBD,5,1,Crit Chance,circle,Protection%,2.5
Ima-Gun Di,TBD,5,1,Tenacity,circle,Protection%,2.5
Coruscant Underworld Police,TBD,5,1,Tenacity,circle,Protection%,2.5,Potency%,1.76,Health,239.0,Health%,0.63
Greedo,TBD,5,1,Tenacity,circle,Health%,0.63,Speed,5.0,Tenacity%,1.6,Offense%,0.37
Captain Phasma,TBD,5,1,Tenacity,circle,Health%,0.63,Critical Chance%,1.73,Potency%,2.07,Protection%,1.8
Ewok Elder,TBD,5,1,Tenacity,circle,Protection%,2.5
Grand Master Yoda,TBD,5,1,Tenacity,circle,Health%,0.63,Potency%,1.99
Geonosian Soldier,TBD,5,1,Potency,circle,Health%,0.63
Clone Sergeant - Phase I,TBD,5,1,Potency,circle,Protection%,2.5,Health%,0.85,Defense,8.0,Offense,25.0
CT-5555 "Fives",TBD,5,1,Potency,circle,Protection%,2.5
Lobot,TBD,5,1,Potency,circle,Protection%,2.5,Defense,6.0,Protection,815.0,Defense%,0.92,Offense%,0.3
Scarif Rebel Pathfinder,TBD,5,1,Potency,circle,Protection%,2.5,Health,330.0,Health%,0.79,Protection,782.0,Offense%,0.46
Ahsoka Tano,TBD,5,1,Potency,circle,Protection%,2.5,Potency%,1.69,Tenacity%,1.4
Director Krennic,TBD,5,1,Potency,circle,Protection%,2.5
Jedi Consular,TBD,5,1,Potency,circle,Protection%,2.5,Offense,39.0,Offense%,0.35
Poggle the Lesser,TBD,5,1,Potency,circle,Health%,0.63,Offense,32.0,Health,329.0,Critical Chance%,1.51
Clone Wars Chewbacca,TBD,5,1,Potency,circle,Health%,0.63,Defense%,0.88
Barriss Offee,TBD,5,1,Potency,circle,Protection%,2.5,Health%,1.04
Dathcha,TBD,5,1,Potency,circle,Protection%,2.5,Potency%,2.21
Garazeb "Zeb" Orrelios,TBD,5,1,Speed,circle,Protection%,2.5,Protection,416.0,Defense%,1.27
Jawa,TBD,5,1,Speed,circle,Health%,0.63,Defense%,1.16
Resistance Pilot,TBD,5,1,Speed,circle,Protection%,2.5
Mace Windu,TBD,5,1,Speed,circle,Health%,0.63,Potency%,1.26
Garazeb "Zeb" Orrelios,TBD,5,1,Health,cross,Potency%,3.0,Protection,717.0,Defense%,1.14
Nightsister Zombie,TBD,5,1,Health,cross,Offense%,0.63
Bodhi Rook,TBD,5,1,Health,cross,Defense%,1.25,Protection%,1.54,Protection,432.0
CT-5555 "Fives",TBD,5,1,Health,cross,Offense%,0.63,Protection%,1.87,Health,355.0
Veteran Smuggler Chewbacca,TBD,5,1,Health,cross,Defense%,1.25,Health%,0.66,Offense%,0.31
Cassian Andor,TBD,5,1,Health,cross,Offense%,0.63
First Order Executioner,TBD,5,1,Health,cross,Protection%,2.5,Critical Chance%,1.69,Defense%,1.38
Resistance Pilot,TBD,5,1,Health,cross,Offense%,0.63
Captain Han Solo,TBD,5,1,Health,cross,Offense%,0.63
Luminara Unduli,TBD,5,1,Health,cross,Tenacity%,3.0,Health,274.0,Potency%,2.15,Offense%,0.41,Health%,0.7
Clone Wars Chewbacca,TBD,5,1,Crit Damage,cross,Tenacity%,3.0
Qui-Gon Jinn,TBD,5,1,Crit Chance,cross,Offense%,0.63,Critical Chance%,2.22,Potency%,1.48
Jawa Engineer,TBD,5,1,Crit Chance,cross,Defense%,1.25
Ima-Gun Di,TBD,5,1,Crit Chance,cross,Potency%,3.0,Health,313.0
Jawa Scavenger,TBD,5,1,Crit Chance,cross,Protection%,2.5
Chief Nebit,TBD,5,1,Crit Chance,cross,Potency%,3.0
IG-100 MagnaGuard,TBD,5,1,Crit Chance,cross,Tenacity%,3.0
Grand Master Yoda,TBD,5,1,Crit Chance,cross,Tenacity%,3.0,Defense,7.0,Health%,0.99,Health,326.0
Ahsoka Tano,TBD,5,1,Potency,cross,Offense%,0.63
Teebo,TBD,5,1,Potency,cross,Health%,0.63,Defense,8.0,Protection,450.0
Old Daka,TBD,5,1,Potency,cross,Tenacity%,3.0
Cad Bane,TBD,5,1,Potency,cross,Protection%,2.5
CT-7567 "Rex",TBD,5,1,Potency,cross,Health%,0.63,Defense,8.0,Potency%,1.17,Defense%,1.08,Protection%,1.19
First Order Stormtrooper,TBD,4,1,Health,square,Offense%,0.5
IG-88,TBD,4,1,Health,square,Offense%,0.5
IG-100 MagnaGuard,TBD,4,1,Health,square,Offense%,0.5
Ima-Gun Di,TBD,4,1,Defense,square,Offense%,0.5
Cad Bane,TBD,4,1,Defense,square,Offense%,0.5
Plo Koon,TBD,4,1,Tenacity,square,Offense%,0.5,Offense,33.0,Protection%,1.34
Scarif Rebel Pathfinder,TBD,4,1,Tenacity,square,Offense%,0.5
Mace Windu,TBD,4,1,Health,arrow,Offense%,0.5
Nightsister Zombie,TBD,4,1,Defense,arrow,Defense%,1.0
Hoth Rebel Scout,TBD,4,1,Health,diamond,Defense%,1.0,Potency%,1.29,Protection,531.0,Offense%,0.38,Health%,0.57
Bistan,TBD,4,1,Health,diamond,Defense%,1.0
General Kenobi,TBD,4,1,Defense,diamond,Defense%,1.0
Ahsoka Tano,TBD,4,1,Defense,diamond,Defense%,1.0
Darth Sion,TBD,4,1,Tenacity,diamond,Defense%,1.0
Dathcha,TBD,4,1,Speed,diamond,Defense%,1.0
Hoth Rebel Scout,TBD,4,1,Defense,triangle,Offense%,0.5,Health%,0.73
B2 Super Battle Droid,TBD,4,1,Health,circle,Health%,0.5
General Kenobi,TBD,4,1,Defense,circle,Protection%,2.0
Veteran Smuggler Han Solo,TBD,4,1,Tenacity,circle,Health%,0.5,Tenacity%,1.77,Defense%,0.79
Barriss Offee,TBD,4,1,Health,cross,Offense%,0.5,Health%,0.75
Darth Sion,TBD,4,1,Defense,cross,Potency%,2.8
Jawa,TBD,3,1,Speed,arrow,Defense%,0.75,Protection,379.0
Resistance Pilot,TBD,3,1,Speed,arrow,Health%,0.38,Offense,18.0,Potency%,0.92
Sabine Wren,TBD,3,1,Health,triangle,Health%,0.38
Luminara Unduli,TBD,3,1,Crit Damage,triangle,Critical Chance%,1.05,Health%,0.66,Potency%,1.11
Royal Guard,TBD,3,1,Potency,triangle,Critical Chance%,1.05,Offense%,0.22
Sith Marauder,TBD,3,1,Speed,triangle,Critical Chance%,1.05
Eeth Koth,TBD,3,1,Offense,circle,Protection%,1.5,Offense%,0.28
Nightsister Initiate,TBD,3,1,Potency,circle,Health%,0.38,Potency%,0.93,Protection%,1.48
Hoth Rebel Scout,TBD,3,1,Health,cross,Health%,0.38,Protection%,0.75,Health,242.0
Dathcha,TBD,2,1,Offense,triangle,Health%,0.25
